cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website	email	lat	lon	desc	imageslinks	openinghours
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Ryser-Optik-AG-EkEe4kSag8NwvsnOjXAR4Q?dwhat=optician&dwhere=st.+gallen	Ryser Optik AG	Metzgergasse 2 /Marktplatz	 9000 St. Gallen	071 222 31 23	www.ryseroptometrie.ch		47.426597	9.375874		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optometry/Gross-Optik-AG-pEvt7c-5KedOf8L7ENfd7Q?dwhat=optician&dwhere=st.+gallen	Gross Optik AG	Shopping Silberturm, Rorschacher Strasse 152	 9000 St. Gallen	071 244 30 10	www.gross-optik.ch		47.431014	9.395604	Wussten Sie, dass wir mehr als 75% der gesamten Wahrnehmung visuell aufnehmen? Die Augen sind unser wichtigstes Sinnesorgan und unsere Fenster zur Welt. Wenn es um die Sicherheit Ihrer Augen geht, ist deshalb nur das Beste gut genug. Bei den Optometristen von Gross Optik im Shopping Silberturm von St. Gallen finden Sie kompetente Experten, die sich in der Welt des Sehens bestens auskennen.	["//www.local.ch/images/bp/info-image-ad/d4/d40a70d9c43ebadd940f1b88e348356aad925515/IIz11mTqE2NV_GoGZYWMaw.jpg","//www.local.ch/images/bp/info-image-ad/7b/7bbcc413717f89136e8ed7b84e719b05c6c18cfe/data.png","//www.local.ch/images/bp/info-image-ad/21/21a21ab050595e5358cae6634126f68ee00ec6a7/TKD4usrqjy_aaSVjnwgffg.jpg","//www.local.ch/images/bp/info-image-ad/65/657470687e6b0b8094e68c5cc32b3bd196b57287/data.png","//www.local.ch/images/bp/info-image-ad/89/89c43bed97c115f9ff5e97564cd1ed9a42499768/SXrgqCLa9tnlTQkk_pfvsg.jpg","//www.local.ch/images/bp/info-image-ad/c1/c132987346a861e517099b23443969ed1771f52b/data.jpg","//www.local.ch/images/bp/info-image-ad/7c/7cf5a4a0bf44a7bf0ae1594a2c8513582013e0a7/-cHhNGeSRrkvlRu48VkN3w.jpg","//www.local.ch/images/bp/info-image-ad/bf/bf13b13ced714f829a9c710febc1fe47280682ea/95DmcUe0_5Z-98SETNabLQ.jpg"]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/VISILAB-St-Gallen-AG-4ows4tkj_SInTEfo46Fs3g?dwhat=optician&dwhere=st.+gallen	VISILAB St. Gallen AG	Neugasse 40	 9000 St. Gallen	071 223 12 21	www.visilab.ch		47.424694	9.374518	Willkommen bei Ihrem Optiker in St. Gallen, wo unsere jungen dynamischen Mitarbeiter Sie erwarten. Nutzen Sie unsere besonderen Fachkenntnisse bezüglich Kopfschmerzen, Leseschwierigkeiten (vor allem bei Studenten) oder Arbeit am Computerbildschirm. Auch die Anpassung von Speziallinsen gehört zu unseren besonderen Stärken. Unser Geschäft liegt zentral mitten in der belebten Altstadt von St. Gallen und erfreut sich einer der höchsten Kundenzufriedenheitsziffern der Deutschschweiz. Kommen Sie doch einfach vorbei!	["//www.local.ch/images/bp/localplace-images/18/1888b764c8aa3ee7fdd4d76e4695066c5674a748/VISILAB_SG_StGallen-Neugasse_bymoduleplus_04.jpg","//www.local.ch/images/bp/localplace-images/42/422eff26ad78b7b7ad9c2f2a72e9f8a521fd8586/VISILAB_SG_StGallen-Neugasse_bymoduleplus_02.jpg","//www.local.ch/images/bp/localplace-images/5d/5d23b567a593eb4bc34a88e65e8b8606aa0c9b07/VISILAB_SG_StGallen-Neugasse_bymoduleplus_03-Bearbeitet.jpg"]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Optician/VISILAB-Shopping-Arena-AG-Mme_2hgRam4A5BivBZU23Q?dwhat=optician&dwhere=st.+gallen	VISILAB Shopping Arena AG	Stadion St. Gallen, Zürcher Strasse 464	 9015 St. Gallen	071 310 26 50	www.visilab.ch		47.407965	9.304188	Willkommen bei Ihrem Optiker in St. Gallen Shopping Arena, östlich vor den Toren der Stadt. Unser Geschäft liegt inmitten des grössten Shopping-Centers der Ostschweiz - der go-to Adresse für modebewusstes Shopping, eingebettet im Fussballstadion St. Gallen. So sind wir bequem zu Fuss, per ÖV oder mit dem Auto erreichbar. Und mit 1100 Stellplätzen ist auch das Parken kein Problem. Kommen Sie doch einfach vorbei!	["//www.local.ch/images/bp/localplace-images/43/43dca142c194e5aefb8f54ebd8c6d0568914fceb/VISILAB_SG_StGallen-ShoppingArena_bymoduleplus_04-Edit.jpg","//www.local.ch/images/bp/localplace-images/35/353e82118736e2a72503acd883be58b1b94a8f02/VISILAB_SG_StGallen-ShoppingArena_bymoduleplus_02.jpg","//www.local.ch/images/bp/localplace-images/bd/bd8629ef5b404bebf290e3a49c4ff3985079478d/VISILAB_SG_StGallen-ShoppingArena_bymoduleplus_03.jpg"]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Kulling-Optik-Brillen-und-Contactlinsen-memKp2fbTGTSKdBz-e9LPA?dwhat=optician&dwhere=st.+gallen	Külling Optik Brillen und Contactlinsen	Poststrasse 17	 9000 St. Gallen	071 222 86 66	www.kuelling.ch		47.424351	9.372425		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Bienz-Optik-AG-MxEX4Rp3MEQ87a_neobVeg?dwhat=optician&dwhere=st.+gallen	Bienz Optik AG	Kornhausstrasse 26	 9000 St. Gallen	071 223 88 44			47.422005	9.371783		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Brillen-Institut-GmbH-aNl6FJMzMdS7coS2gOYtAQ?dwhat=optician&dwhere=st.+gallen	Brillen-Institut GmbH	Neugasse 48 /Ob. Graben 15	 9000 St. Gallen	071 222 42 62			47.424346	9.374347		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Glasses-and-contact-lenses/Fielmann-AG-xGwdoA6IGyAxe4nAO0opQw?dwhat=optician&dwhere=st.+gallen	Fielmann AG	Multergasse 8	 9000 St. Gallen	071 220 89 20			47.424628	9.375762		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Kalthoff-Bernd-Augenoptik-uCsVjRA2cYuRqyfp8Gctng?dwhat=optician&dwhere=st.+gallen	Kalthoff Bernd Augenoptik	Webergasse 19	 9000 St. Gallen	071 222 07 34			47.422881	9.375341		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Glasses-and-contact-lenses/Platzhirsch-Optik-GmbH-93y2VStp6tv1vtWcgZmbFg?dwhat=optician&dwhere=st.+gallen	Platzhirsch Optik GmbH	Vadianstrasse 15	 9000 St. Gallen	071 230 02 02			47.422558	9.372558		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Viegener-Optik-AG-4CvEkEFh_cN08txmKADkaQ?dwhat=optician&dwhere=st.+gallen	Viegener Optik AG	Schmiedgasse 35	 9000 St. Gallen	071 222 11 44			47.423489	9.374992		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Walser-Optiker-AG-SwQMiytVajCdkF1uafHbPQ?dwhat=optician&dwhere=st.+gallen	Walser Optiker AG	Bahnhofstrasse 2	 9000 St. Gallen	071 222 14 14			47.42612	9.373709		[]	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Walz-Optik-AG-qrHfiEiHt6lilpKRUVJyOg?dwhat=optician&dwhere=st.+gallen	Walz Optik AG	Marktplatz 24	 9000 St. Gallen	071 222 63 01			47.426114	9.374623		[]	
